,,,,The Center for Internet Security,,
,,,,Critical Security Controls Version 6.1,,
NIST SP 800-53 Rev 4 Control #,NIST SP 800-53 Control Title,Family,Control,Control Description,Foundational,Advanced
CM-8,INFORMATION SYSTEM COMPONENT INVENTORY,Critical Security Control #1: Inventory of Authorized and Unauthorized Devices,,,,
CM-8(3),INFORMATION SYSTEM COMPONENT INVENTORY | AUTOMATED UNAUTHORIZED COMPONENT DETECTION,System,1.1,Deploy an automated asset inventory discovery tool and use it to build a preliminary inventory of systems connected to an organization’s public and private network(s). Both active tools that scan through IPv4 or IPv6 network address ranges and passive tools that identify hosts based on analyzing their traffic should be employed.,Y,"Use a mix of active and passive tools, and apply as part of a continuous monitoring program."
IA-3(3),DEVICE IDENTIFICATION AND AUTHENTICATION | DYNAMIC ADDRESS ALLOCATION,System,1.2,"If the organization is dynamically assigning addresses using DHCP, then deploy dynamic host configuration protocol (DHCP) server logging, and use this information to improve the asset inventory and help detect unknown systems.",Y,
CM-8(2),INFORMATION SYSTEM COMPONENT INVENTORY | AUTOMATED MAINTENANCE,System,1.3,"Ensure that all equipment acquisitions automatically update the inventory system as new, approved devices are connected to the network.",Y,
CM-8,INFORMATION SYSTEM COMPONENT INVENTORY,System,1.4,"Maintain an asset inventory of all systems connected to the network and the network devices themselves, recording at least the network addresses, machine name(s), purpose of each system, an asset owner responsible for each device, and the department associated with each device. The inventory should include every system that has an Internet protocol (IP) address on the network, including but not limited to desktops, laptops, servers, network equipment (routers, switches, firewalls, etc.), printers, storage area networks, Voice Over-IP telephones, multi-homed addresses, virtual addresses, etc.  The asset inventory created must also include data on whether the device is a portable and/or personal device. Devices such as mobile phones, tablets, laptops, and other portable electronic devices that store or process data must be identified, regardless of whether they are attached to the organization’s network.",Y,
IA-3,DEVICE IDENTIFICATION AND AUTHENTICATION,System,1.5,Deploy network level authentication via 802.1x to limit and control which devices can be connected to the network.  The 802.1x must be tied into the inventory data to determine authorized versus unauthorized systems.,Y,Authentication mechanisms are closely coupled to management of hardware inventory
IA-3(1),DEVICE IDENTIFICATION AND AUTHENTICATION | CRYPTOGRAPHIC BIDIRECTIONAL AUTHENTICATION,System,1.6,Use client certificates to validate and authenticate systems prior to connecting to the private network.,,Y
CM-7,LEAST FUNCTIONALITY,Critical Security Control #2: Inventory of Authorized and Unauthorized Software,,,,
CM-7(5),LEAST FUNCTIONALITY | AUTHORIZED SOFTWARE / WHITELISTING,System,2.1,"Devise a list of authorized software and version that is required in the enterprise for each type of system, including servers, workstations, and laptops of various kinds and uses.  This list should be monitored by file integrity checking tools to validate that the authorized software has not been modified.",Y,File integrity is verified as part of a continuous monitoring program.
CM-7(2),LEAST FUNCTIONALITY | PREVENT PROGRAM EXECUTION,System,2.2,"Deploy application whitelisting technology that allows systems to run software only if it is included on the whitelist and prevents execution of all other software on the system. The whitelist may be very extensive (as is available from commercial whitelist vendors), so that users are not inconvenienced when using common software. Or, for some special-purpose systems (which require only a small number of programs to achieve their needed business functionality), the whitelist may be quite narrow.",Y,Whitelist application libraries (such as DLLs) in addition to executable binaries (such as EXEs and MSIs.
